Package,Name,Version,Architecture
libgif-dev,libgif-dev,5.2.1,iphoneos-arm
libgit2-1.5,libgit2-1.5,1.5.0,iphoneos-arm
libgit2-cli,libgit2-cli,1.5.0,iphoneos-arm
libgit2-dev,libgit2-dev,1.5.0,iphoneos-arm
libgl1-mesa-dev,libgl1-mesa-dev,21.0.2,iphoneos-arm
libgl1-mesa-dri,libgl1-mesa-dri,21.0.0,iphoneos-arm
libgl1-mesa-glx,libgl1-mesa-glx,21.0.2,iphoneos-arm
libglapi-mesa,libglapi-mesa,21.0.2,iphoneos-arm
libgles2-mesa,libgles2-mesa,21.0.2,iphoneos-arm
libgles2-mesa-dev,libgles2-mesa-dev,21.0.2,iphoneos-arm
libglew2.2,libglew2.2,2.2.0,iphoneos-arm
libglew-dev,libglew-dev,2.2.0,iphoneos-arm
libglib2.0-0,libglib2.0-0,2.78.0,iphoneos-arm
libglib2.0-bin,libglib2.0-bin,2.78.0,iphoneos-arm
libglib2.0-dev,libglib2.0-dev,2.78.0,iphoneos-arm
libglib2.0-dev-bin,libglib2.0-dev-bin,2.78.0,iphoneos-arm
libglu1-mesa,libglu1-mesa,9.0.1,iphoneos-arm
libglu1-mesa-dev,libglu1-mesa-dev,9.0.1,iphoneos-arm
libgmock-dev,libgmock-dev,1.12.1,iphoneos-arm
libgmp10,libgmp10,6.3.0,iphoneos-arm
libgmp-dev,libgmp-dev,6.3.0,iphoneos-arm
libgmpxx4ldbl,libgmpxx4ldbl,6.3.0,iphoneos-arm
libgnutls30,libgnutls30,3.8.5,iphoneos-arm
libgnutls30-dev,libgnutls30-dev,3.8.5,iphoneos-arm
libgnutlsxx30,libgnutlsxx30,3.8.5,iphoneos-arm
libgpg-error0,libgpg-error0,1.48,iphoneos-arm
libgpg-error-dev,libgpg-error-dev,1.48,iphoneos-arm
libgpgme11,libgpgme11,1.23.2,iphoneos-arm
libgpgme-dev,libgpgme-dev,1.23.2,iphoneos-arm
libgpgmepp6,libgpgmepp6,1.23.2,iphoneos-arm
libgpgmepp-dev,libgpgmepp-dev,1.23.2,iphoneos-arm
libgraphite2-3,libgraphite2-3,1.3.14,iphoneos-arm
libgraphite2-dev,libgraphite2-dev,1.3.14,iphoneos-arm
libgraphite2-utils,libgraphite2-utils,1.3.14,iphoneos-arm
libgs9,libgs9,9.53.3,iphoneos-arm
libgs9-common,libgs9-common,9.53.3,all
libgs-dev,libgs-dev,9.53.3,iphoneos-arm
libgtest-dev,libgtest-dev,1.12.1,iphoneos-arm
libharfbuzz0b,libharfbuzz0b,2.8.1,iphoneos-arm
libharfbuzz-bin,libharfbuzz-bin,2.8.1,iphoneos-arm
libharfbuzz-dev,libharfbuzz-dev,2.8.1,iphoneos-arm
libharfbuzz-gobject0,libharfbuzz-gobject0,2.8.1,iphoneos-arm
libharfbuzz-icu0,libharfbuzz-icu0,2.8.1,iphoneos-arm
libharfbuzz-subset0,libharfbuzz-subset0,2.8.1,iphoneos-arm
libheif1,libheif1,1.12.0-1,iphoneos-arm
libheif-dev,libheif-dev,1.12.0-1,iphoneos-arm
libhidapi0,libhidapi0,0.9.0,iphoneos-arm
libhidapi-dev,libhidapi-dev,0.9.0,iphoneos-arm
libhogweed6,libhogweed6,3.9.1,iphoneos-arm
libhsts0,libhsts0,0.1.0,iphoneos-arm
libhsts-dev,libhsts-dev,0.1.0,iphoneos-arm
libice6,libice6,1.0.10,iphoneos-arm
libice-dev,libice-dev,1.0.10,iphoneos-arm
libicu68,libicu68,68.2,iphoneos-arm
libicu69,libicu69,69.1,iphoneos-arm
libicu-dev,libicu-dev,69.1,iphoneos-arm
libideviceactivation2,libideviceactivation2,1.1.1+git20220404.75505b7-2,iphoneos-arm
libideviceactivation-dev,libideviceactivation-dev,1.1.1+git20220404.75505b7-2,iphoneos-arm
libideviceactivation-utils,libideviceactivation-utils,1.1.1+git20220404.75505b7-2,iphoneos-arm
libidn2-0,libidn2-0,2.3.7,iphoneos-arm
libidn2-dev,libidn2-dev,2.3.7,iphoneos-arm
libilmbase25,libilmbase25,2.5.3,iphoneos-arm
libilmbase-dev,libilmbase-dev,2.5.3,iphoneos-arm
libimg4-dev,libimg4-dev,1.0+git20210122.1d8c1dd-1,iphoneos-arm
libimg4tool0,libimg4tool0,197-2,iphoneos-arm
libimg4tool-dev,libimg4tool-dev,197-2,iphoneos-arm
libimlib2-1,libimlib2-1,1.7.1,iphoneos-arm
libimlib2-dev,libimlib2-dev,1.7.1,iphoneos-arm
libimobiledevice6,libimobiledevice6,1.3.0+git20220702.2eec1b9-1,iphoneos-arm
libimobiledevice-dev,libimobiledevice-dev,1.3.0+git20220702.2eec1b9-1,iphoneos-arm
libimobiledevice-glue1.0-0,libimobiledevice-glue1.0-0,1.0.0+git20220522.d2ff796,iphoneos-arm
libimobiledevice-glue-dev,libimobiledevice-glue-dev,1.0.0+git20220522.d2ff796,iphoneos-arm
libimobiledevice-utils,libimobiledevice-utils,1.3.0+git20220702.2eec1b9-1,iphoneos-arm
libinsn0,libinsn0,35,iphoneos-arm
libinsn-dev,libinsn-dev,35,iphoneos-arm
libintl8,libintl8,0.22,iphoneos-arm
libintl-dev,libintl-dev,0.22,iphoneos-arm
libiosexec1,libiosexec1,1.3.1,iphoneos-arm
libiosexec-dev,libiosexec-dev,1.3.1,iphoneos-arm
libipatcher0,libipatcher0,81-2,iphoneos-arm
libipatcher-dev,libipatcher-dev,81-2,iphoneos-arm
libirecovery3,libirecovery3,1.0.0+git20220628.ab5b4d8-1,iphoneos-arm
libirecovery-dev,libirecovery-dev,1.0.0+git20220628.ab5b4d8-1,iphoneos-arm
libirecovery-utils,libirecovery-utils,1.0.0+git20220628.ab5b4d8-1,iphoneos-arm
libisl23,libisl23,0.23,iphoneos-arm
libisl-dev,libisl-dev,0.23,iphoneos-arm
libiso9660++0,libiso9660++0,2.1.0,iphoneos-arm
libiso9660-11,libiso9660-11,2.1.0,iphoneos-arm
libiso9660-dev,libiso9660-dev,2.1.0,iphoneos-arm
libiso9660++-dev,libiso9660++-dev,2.1.0,iphoneos-arm
libjansson4,libjansson4,2.14,iphoneos-arm
libjansson-dev,libjansson-dev,2.14,iphoneos-arm
libjbig0,libjbig0,2.1,iphoneos-arm
libjbig2dec0,libjbig2dec0,0.19,iphoneos-arm
libjbig2dec0-dev,libjbig2dec0-dev,0.19,iphoneos-arm
libjbig-dev,libjbig-dev,2.1,iphoneos-arm
libjemalloc2,libjemalloc2,5.3.0,iphoneos-arm
libjemalloc-dev,libjemalloc-dev,5.3.0,iphoneos-arm
libjpeg62-turbo,libjpeg62-turbo,2.0.6,iphoneos-arm
libjpeg62-turbo-dev,libjpeg62-turbo-dev,2.0.6,iphoneos-arm
libjpeg-turbo-progs,libjpeg-turbo-progs,2.0.6,iphoneos-arm
libjq1,libjq1,1.6,iphoneos-arm
libjq-dev,libjq-dev,1.6,iphoneos-arm
libjson-c5,libjson-c5,0.15,iphoneos-arm
libjson-c-dev,libjson-c-dev,0.15,iphoneos-arm
libkeccak1,libkeccak1,1.3,iphoneos-arm
libkeccak-dev,libkeccak-dev,1.3,iphoneos-arm
libkernrw0,libkernrw0,1.0-1,iphoneos-arm
libkernrw-dev,libkernrw-dev,1.0-1,iphoneos-arm
libkernrw-utils,libkernrw-utils,1.0-1,iphoneos-arm
libkrw0,libkrw0,1.1.1-2,iphoneos-arm
libkrw0-taurine,libkrw0-taurine,1.0,iphoneos-arm
libkrw0-tfp0,libkrw0-tfp0,1.1.1-2,iphoneos-arm
libkrw-dev,libkrw-dev,1.1.1-2,iphoneos-arm
libksba8,libksba8,1.6.6,iphoneos-arm
libksba-dev,libksba-dev,1.6.6,iphoneos-arm
liblcms2-2,liblcms2-2,2.12,iphoneos-arm
liblcms2-dev,liblcms2-dev,2.12,iphoneos-arm
liblcms2-utils,liblcms2-utils,2.12,iphoneos-arm
liblept5,liblept5,1.80.0,iphoneos-arm
libleptonica-dev,libleptonica-dev,1.80.0,iphoneos-arm
liblld-14,liblld-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
liblld-14-dev,liblld-14-dev,14.0.0~5.7.2~RELEASE,iphoneos-arm
liblld-16,liblld-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
liblld-16-dev,liblld-16-dev,16.0.0~5.9.2~RELEASE,iphoneos-arm
liblldb-14,liblldb-14,14.0.0~5.7.2~RELEASE,iphoneos-arm
liblldb-14-dev,liblldb-14-dev,14.0.0~5.7.2~RELEASE,iphoneos-arm
liblldb-16,liblldb-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
liblldb-16-dev,liblldb-16-dev,16.0.0~5.9.2~RELEASE,iphoneos-arm
libllvm14,libllvm14,14.0.0~5.7.2~RELEASE,iphoneos-arm
libllvm16,libllvm16,16.0.0~5.9.2~RELEASE,iphoneos-arm
liblocale-gettext-perl,liblocale-gettext-perl,1.07,iphoneos-arm
liblouis20,liblouis20,3.17.0,iphoneos-arm
liblouis-bin,liblouis-bin,3.17.0,iphoneos-arm
liblouis-data,liblouis-data,3.17.0,iphoneos-arm
liblouis-dev,liblouis-dev,3.17.0,iphoneos-arm
liblqr-1-0,liblqr-1-0,0.4.2,iphoneos-arm
liblqr-1-0-dev,liblqr-1-0-dev,0.4.2,iphoneos-arm
libltdl7,libltdl7,2.4.7,iphoneos-arm
libltdl-dev,libltdl-dev,2.4.7,iphoneos-arm
liblua50,liblua50,5.0.3,iphoneos-arm
liblua50-dev,liblua50-dev,5.0.3,iphoneos-arm
liblua5.1-0,liblua5.1-0,5.1.5,iphoneos-arm
liblua5.1-dev,liblua5.1-dev,5.1.5,iphoneos-arm
liblua5.2-0,liblua5.2-0,5.2.4,iphoneos-arm
liblua5.2-dev,liblua5.2-dev,5.2.4,iphoneos-arm
liblua5.3-0,liblua5.3-0,5.3.3,iphoneos-arm
liblua5.3-dev,liblua5.3-dev,5.3.3,iphoneos-arm
liblua5.4-0,liblua5.4-0,5.4.2,iphoneos-arm
liblua5.4-dev,liblua5.4-dev,5.4.2,iphoneos-arm
libluajit-5.1-2,libluajit-5.1-2,2.1.0~beta3,iphoneos-arm
libluajit-5.1-common,libluajit-5.1-common,2.1.0~beta3+git377a848,all
libluajit-5.1-dev,libluajit-5.1-dev,2.1.0~beta3,iphoneos-arm
liblualib50,liblualib50,5.0.3,iphoneos-arm
liblualib50-dev,liblualib50-dev,5.0.3,iphoneos-arm
liblz4-1,liblz4-1,1.9.4,iphoneos-arm
liblz4-dev,liblz4-dev,1.9.4,iphoneos-arm
liblzfse,liblzfse,1.0-1,iphoneos-arm
liblzfse-dev,liblzfse-dev,1.0-1,iphoneos-arm
liblzma5,liblzma5,5.4.4,iphoneos-arm
liblzma-dev,liblzma-dev,5.4.4,iphoneos-arm
liblzo2-2,liblzo2-2,2.10,iphoneos-arm
liblzo2-dev,liblzo2-dev,2.10,iphoneos-arm
libmagic1,libmagic1,5.45,iphoneos-arm
libmagic-dev,libmagic-dev,5.45,iphoneos-arm
libmagick++-7-headers,libmagick++-7-headers,7.0.10.60,all
libmagick++-7.q16hdri-4,libmagick++-7.q16hdri-4,7.0.10.60,iphoneos-arm
libmagick++-7.q16hdri-dev,libmagick++-7.q16hdri-dev,7.0.10.60,iphoneos-arm
libmagickcore-7-headers,libmagickcore-7-headers,7.0.10.60,all
libmagickcore-7.q16hdri-8,libmagickcore-7.q16hdri-8,7.0.10.60,iphoneos-arm
libmagickcore-7.q16hdri-dev,libmagickcore-7.q16hdri-dev,7.0.10.60,iphoneos-arm
libmagickwand-7-headers,libmagickwand-7-headers,7.0.10.60,all
libmagickwand-7.q16hdri-8,libmagickwand-7.q16hdri-8,7.0.10.60,iphoneos-arm
libmagickwand-7.q16hdri-dev,libmagickwand-7.q16hdri-dev,7.0.10.60,iphoneos-arm
libmatroska7,libmatroska7,1.6.3,iphoneos-arm
libmatroska-dev,libmatroska-dev,1.6.3,iphoneos-arm
libmaxminddb0,libmaxminddb0,1.6.0,iphoneos-arm
libmaxminddb-dev,libmaxminddb-dev,1.6.0,iphoneos-arm
libmd0,libmd0,1.1.0,iphoneos-arm
libmd-dev,libmd-dev,1.1.0,iphoneos-arm
libmlir-16,libmlir-16,16.0.0~5.9.2~RELEASE,iphoneos-arm
libmodule-build-perl,libmodule-build-perl,0.4231,all
libmp3lame0,libmp3lame0,3.100,iphoneos-arm
libmp3lame-dev,libmp3lame-dev,3.100,iphoneos-arm
libmpack0,libmpack0,1.0.5,iphoneos-arm
libmpack-dev,libmpack-dev,1.0.5,iphoneos-arm
libmpc3,libmpc3,1.2.1,iphoneos-arm
libmpc-dev,libmpc-dev,1.2.1,iphoneos-arm
libmpfr6,libmpfr6,4.1.0,iphoneos-arm
libmpfr-dev,libmpfr-dev,4.1.0,iphoneos-arm
libmpg123-0,libmpg123-0,1.26.3,iphoneos-arm
libmpg123-dev,libmpg123-dev,1.26.3,iphoneos-arm
libmsgpackc2,libmsgpackc2,3.3.0,iphoneos-arm
libmsgpack-dev,libmsgpack-dev,3.3.0,iphoneos-arm
libncurses-dev,libncurses-dev,6.4,iphoneos-arm
libncursesw6,libncursesw6,6.4,iphoneos-arm
libnet9,libnet9,1.2,iphoneos-arm
libnet-dev,libnet-dev,1.2,iphoneos-arm
libnettle8,libnettle8,3.9.1,iphoneos-arm
libnghttp2-14,libnghttp2-14,1.61.0,iphoneos-arm
libnghttp2-dev,libnghttp2-dev,1.61.0,iphoneos-arm
libnghttp3-9,libnghttp3-9,1.2.0,iphoneos-arm
libnghttp3-dev,libnghttp3-dev,1.2.0,iphoneos-arm
libnginx-mod-http-geoip,libnginx-mod-http-geoip,1.21.5-5,iphoneos-arm
libnginx-mod-http-image-filter,libnginx-mod-http-image-filter,1.21.5-5,iphoneos-arm
libnginx-mod-mail,libnginx-mod-mail,1.21.5-5,iphoneos-arm
libnginx-mod-stream,libnginx-mod-stream,1.21.5-5,iphoneos-arm
libnginx-mod-stream-geoip,libnginx-mod-stream-geoip,1.21.5-5,iphoneos-arm
libngtcp2-16,libngtcp2-16,1.4.0,iphoneos-arm
libngtcp2-crypto-gnutls8,libngtcp2-crypto-gnutls8,1.4.0,iphoneos-arm
libngtcp2-crypto-gnutls-dev,libngtcp2-crypto-gnutls-dev,1.4.0,iphoneos-arm
libngtcp2-dev,libngtcp2-dev,1.4.0,iphoneos-arm
libnode83,libnode83,14.13.1,iphoneos-arm
libnode-dev,libnode-dev,14.13.1,iphoneos-arm
libnpth0,libnpth0,1.7,iphoneos-arm
libnpth0-dev,libnpth0-dev,1.7,iphoneos-arm
liboffsetfinder64-0,liboffsetfinder64-0,132,iphoneos-arm
liboffsetfinder64-dev,liboffsetfinder64-dev,132,iphoneos-arm
libogg0,libogg0,1.3.5,iphoneos-arm
libogg-dev,libogg-dev,1.3.5,iphoneos-arm
libomp1,libomp1,12.0.0,iphoneos-arm
libomp-dev,libomp-dev,12.0.0,iphoneos-arm
libonig5,libonig5,6.9.6,iphoneos-arm
libonig-dev,libonig-dev,6.9.6,iphoneos-arm
libopencore-amrnb0,libopencore-amrnb0,0.1.5,iphoneos-arm
libopencore-amrnb-dev,libopencore-amrnb-dev,0.1.5,iphoneos-arm
libopencore-amrwb0,libopencore-amrwb0,0.1.5,iphoneos-arm
libopencore-amrwb-dev,libopencore-amrwb-dev,0.1.5,iphoneos-arm
libopenexr25,libopenexr25,2.5.3,iphoneos-arm
libopenexr-dev,libopenexr-dev,2.5.3,iphoneos-arm
libopenjp2-7,libopenjp2-7,2.5.0,iphoneos-arm
libopenjp2-7-dev,libopenjp2-7-dev,2.5.0,iphoneos-arm
libopenjp2-tools,libopenjp2-tools,2.5.0,iphoneos-arm
libopus0,libopus0,1.3.1,iphoneos-arm
libopus-dev,libopus-dev,1.3.1,iphoneos-arm
libout123-0,libout123-0,1.26.3,iphoneos-arm
libp11-kit0,libp11-kit0,0.25.3,iphoneos-arm
libp11-kit-dev,libp11-kit-dev,0.25.3,iphoneos-arm
libpam2,libpam2,20230627,iphoneos-arm
libpam-biometrics,libpam-biometrics,1.1.4-1,iphoneos-arm
libpam-dev,libpam-dev,20230627,iphoneos-arm
libpam-google-authenticator,libpam-google-authenticator,0~20210222.0b02aad,iphoneos-arm
libpam-modules,libpam-modules,1000.0,iphoneos-arm
libpaper1,libpaper1,1.1.28,iphoneos-arm
libpaper-dev,libpaper-dev,1.1.28,iphoneos-arm
libpaper-utils,libpaper-utils,1.1.28,iphoneos-arm
libpcapa,libpcapa,1.10.4,iphoneos-arm
libpcapa-dev,libpcapa-dev,1.10.4,iphoneos-arm
libpcre1,libpcre1,8.45-1,iphoneos-arm
libpcre16-0,libpcre16-0,8.45-1,iphoneos-arm
libpcre1-dev,libpcre1-dev,8.45-1,iphoneos-arm
libpcre2-16-0,libpcre2-16-0,10.43,iphoneos-arm
libpcre2-32-0,libpcre2-32-0,10.43,iphoneos-arm
libpcre2-8-0,libpcre2-8-0,10.43,iphoneos-arm
libpcre2-dev,libpcre2-dev,10.43,iphoneos-arm
libpcre2-posix3,libpcre2-posix3,10.43,iphoneos-arm
libpcre32-0,libpcre32-0,8.45-1,iphoneos-arm
libpcrecpp0,libpcrecpp0,8.45-1,iphoneos-arm
libpcreposix0,libpcreposix0,8.45-1,iphoneos-arm
libpipeline1,libpipeline1,1.5.7,iphoneos-arm
libpipeline-dev,libpipeline-dev,1.5.7,iphoneos-arm
libpixman-1-0,libpixman-1-0,0.40.0,iphoneos-arm
libpixman-1-dev,libpixman-1-dev,0.40.0,iphoneos-arm
libplist3,libplist3,2.2.0+git20230130.4b50a5a,iphoneos-arm
libplist++3v5,libplist++3v5,2.2.0+git20230130.4b50a5a,iphoneos-arm
libplist++-dev,libplist++-dev,2.2.0+git20230130.4b50a5a,iphoneos-arm
libplist-dev,libplist-dev,2.2.0+git20230130.4b50a5a,iphoneos-arm
libplist-utils,libplist-utils,2.2.0+git20230130.4b50a5a,iphoneos-arm
libpng16-16,libpng16-16,1.6.37,iphoneos-arm
libpng16-dev,libpng16-dev,1.6.37,iphoneos-arm
libpng16-tools,libpng16-tools,1.6.37,iphoneos-arm
libpod-parser-perl,libpod-parser-perl,1.63,all
libpopt0,libpopt0,1.18,iphoneos-arm
libpopt-dev,libpopt-dev,1.18,iphoneos-arm
libportaudio19-dev,libportaudio19-dev,19.7.0,iphoneos-arm
libportaudio2,libportaudio2,19.7.0,iphoneos-arm
libportaudiocpp0,libportaudiocpp0,19.7.0,iphoneos-arm
libpostproc56,libpostproc56,5.0.1,iphoneos-arm
libpostproc-dev,libpostproc-dev,5.0.1,iphoneos-arm
libprotobuf24,libprotobuf24,3.13.0,iphoneos-arm
libprotobuf25,libprotobuf25,3.14.0,iphoneos-arm
libprotobuf32,libprotobuf32,3.21.2,iphoneos-arm
libprotobuf-dev,libprotobuf-dev,3.21.2,iphoneos-arm
libprotobuf-lite24,libprotobuf-lite24,3.13.0,iphoneos-arm
libprotobuf-lite25,libprotobuf-lite25,3.14.0,iphoneos-arm
libprotobuf-lite32,libprotobuf-lite32,3.21.2,iphoneos-arm
libprotoc24,libprotoc24,3.13.0,iphoneos-arm
libprotoc25,libprotoc25,3.14.0,iphoneos-arm
libprotoc32,libprotoc32,3.21.2,iphoneos-arm
libprotoc-dev,libprotoc-dev,3.21.2,iphoneos-arm
libpthread-stubs0-dev,libpthread-stubs0-dev,0.4,iphoneos-arm
libpugixml1,libpugixml1,1.11.4,iphoneos-arm
libpugixml-dev,libpugixml-dev,1.11.4,iphoneos-arm
libpython3.9,libpython3.9,3.9.9-1,iphoneos-arm
libpython3.9-dev,libpython3.9-dev,3.9.9-1,iphoneos-arm
libqrencode4,libqrencode4,4.1.1,iphoneos-arm
libqrencode-dev,libqrencode-dev,4.1.1,iphoneos-arm
libradare2-5.8,libradare2-5.8,5.8.2-1,iphoneos-arm
libradare2-common,libradare2-common,5.8.2-1,all
libradare2-dev,libradare2-dev,5.8.2-1,iphoneos-arm
librav1e0,librav1e0,0.5.1,iphoneos-arm
librav1e-dev,librav1e-dev,0.5.1,iphoneos-arm
libreadline8,libreadline8,8.2.0,iphoneos-arm
libreadline-dev,libreadline-dev,8.2.0,iphoneos-arm
librecode3,librecode3,3.7.8,iphoneos-arm
librecode-dev,librecode-dev,3.7.8,iphoneos-arm
libredwg0,libredwg0,0.12,iphoneos-arm
libredwg-dev,libredwg-dev,0.12,iphoneos-arm
libredwg-utils,libredwg-utils,0.12,iphoneos-arm
librpmalloc0,librpmalloc0,1.4.1,iphoneos-arm
librpmalloc-dev,librpmalloc-dev,1.4.1,iphoneos-arm
librtmp1,librtmp1,2.4+20151223.gitfa8646d.1,iphoneos-arm
librtmp-dev,librtmp-dev,2.4+20151223.gitfa8646d.1,iphoneos-arm
librubberband2,librubberband2,2.0.2,iphoneos-arm
librubberband-dev,librubberband-dev,2.0.2,iphoneos-arm
libruby3.1,libruby3.1,3.1.2,iphoneos-arm
libsamplerate0,libsamplerate0,0.1.9,iphoneos-arm
libsamplerate0-dev,libsamplerate0-dev,0.1.9,iphoneos-arm
libscrypt0,libscrypt0,1.21,iphoneos-arm
libscrypt-dev,libscrypt-dev,1.21,iphoneos-arm
libscrypt-kdf1,libscrypt-kdf1,1.3.1,iphoneos-arm
libscrypt-kdf-dev,libscrypt-kdf-dev,1.3.1,iphoneos-arm
libsdl2-2.0-0,libsdl2-2.0-0,2.0.14,iphoneos-arm
libsdl2-dev,libsdl2-dev,2.0.14,iphoneos-arm
libsgmls-perl,libsgmls-perl,1.1,all
libsigc++-2.0-0v5,libsigc++-2.0-0v5,2.10.3,iphoneos-arm
libsigc++-2.0-dev,libsigc++-2.0-dev,2.10.3,iphoneos-arm
libsigsegv2,libsigsegv2,2.13,iphoneos-arm
libsigsegv-dev,libsigsegv-dev,2.13,iphoneos-arm
libsixel1,libsixel1,1.8.6,iphoneos-arm
libsixel-bin,libsixel-bin,1.8.6,iphoneos-arm
libsixel-dev,libsixel-dev,1.8.6,iphoneos-arm
libslang2,libslang2,2.3.2,iphoneos-arm
libslang2-dev,libslang2-dev,2.3.2,iphoneos-arm
libslang2-modules,libslang2-modules,2.3.2,iphoneos-arm
libsm6,libsm6,1.2.3,iphoneos-arm
libsm-dev,libsm-dev,1.2.3,iphoneos-arm
libsnappy1v5,libsnappy1v5,1.1.9,iphoneos-arm
libsnappy-dev,libsnappy-dev,1.1.9,iphoneos-arm
libsndfile1,libsndfile1,1.0.31,iphoneos-arm
libsndfile1-dev,libsndfile1-dev,1.0.31,iphoneos-arm
libsodium23,libsodium23,1.0.18,iphoneos-arm
libsodium-dev,libsodium-dev,1.0.18,iphoneos-arm
libsoundio2,libsoundio2,2.0.0,iphoneos-arm
libsoundio-dev,libsoundio-dev,2.0.0,iphoneos-arm
libsoundio-progs,libsoundio-progs,2.0.0,iphoneos-arm
libsoxr0,libsoxr0,0.1.3,iphoneos-arm
libsoxr-dev,libsoxr-dev,0.1.3,iphoneos-arm
libsoxr-lsr0,libsoxr-lsr0,0.1.3,iphoneos-arm
libspeex1,libspeex1,1.2.0,iphoneos-arm
libspeex-dev,libspeex-dev,1.2.0,iphoneos-arm
libsqlite3-1,libsqlite3-1,3.34.1,iphoneos-arm
libsqlite3-dev,libsqlite3-dev,3.34.1,iphoneos-arm
libsrt1,libsrt1,1.4.4,iphoneos-arm
libsrt-dev,libsrt-dev,1.4.4,iphoneos-arm
libssh2-1,libssh2-1,1.11.0,iphoneos-arm
libssh2-dev,libssh2-dev,1.11.0,iphoneos-arm
libssh-4,libssh-4,0.9.6,iphoneos-arm
libssh-dev,libssh-dev,0.9.6,iphoneos-arm
libssl1.1,libssl1.1,1.1.1w,iphoneos-arm
libssl3,libssl3,3.2.1,iphoneos-arm
libssl-dev,libssl-dev,3.2.1,iphoneos-arm
libssl-doc,libssl-doc,3.2.1,all
libswresample4,libswresample4,5.0.1,iphoneos-arm
libswresample-dev,libswresample-dev,5.0.1,iphoneos-arm
libswscale6,libswscale6,5.0.1,iphoneos-arm
libswscale-dev,libswscale-dev,5.0.1,iphoneos-arm
libsyn123-0,libsyn123-0,1.26.3,iphoneos-arm
libsystem-man,libsystem-man,1.1,all
libtapi,libtapi,1500.0.12.3,iphoneos-arm
libtapi-dev,libtapi-dev,1500.0.12.3,iphoneos-arm
libtasn1-6,libtasn1-6,4.19.0,iphoneos-arm
libtasn1-6-dev,libtasn1-6-dev,4.19.0,iphoneos-arm
libtasn1-bin,libtasn1-bin,4.19.0,iphoneos-arm
libtcc-dev,libtcc-dev,0.9.27+git20230222.605538f,iphoneos-arm
libtermkey1,libtermkey1,0.22,iphoneos-arm
libtermkey-dev,libtermkey-dev,0.22,iphoneos-arm
libterm-readkey-perl,libterm-readkey-perl,2.38,iphoneos-arm
libtesseract4,libtesseract4,4.1.1,iphoneos-arm
libtesseract5,libtesseract5,5.1.0,iphoneos-arm
libtesseract-dev,libtesseract-dev,5.1.0,iphoneos-arm
libtest-harness-perl,libtest-harness-perl,3.42,all
libtextstyle0v5,libtextstyle0v5,0.22,iphoneos-arm
libtextstyle-dev,libtextstyle-dev,0.22,iphoneos-arm
libtheora0,libtheora0,1.1.1,iphoneos-arm
libtheora-dev,libtheora-dev,1.1.1,iphoneos-arm
libtiff5,libtiff5,4.2.0,iphoneos-arm
libtiff-dev,libtiff-dev,4.2.0,iphoneos-arm
libtiff-doc,libtiff-doc,4.2.0,iphoneos-arm
libtiff-tools,libtiff-tools,4.2.0,iphoneos-arm
libtiffxx5,libtiffxx5,4.2.0,iphoneos-arm
libtomcrypt1,libtomcrypt1,1.18.2,iphoneos-arm
libtomcrypt-dev,libtomcrypt-dev,1.18.2,iphoneos-arm
libtommath1,libtommath1,1.2.0,iphoneos-arm
libtommath-dev,libtommath-dev,1.2.0,iphoneos-arm
libtool,libtool,2.4.7,iphoneos-arm
libtool-bin,libtool-bin,2.4.7,iphoneos-arm
libtree-sitter0,libtree-sitter0,0.20.8,iphoneos-arm
libtree-sitter-dev,libtree-sitter-dev,0.20.8,iphoneos-arm
libturbojpeg0,libturbojpeg0,2.0.6,iphoneos-arm
libturbojpeg0-dev,libturbojpeg0-dev,2.0.6,iphoneos-arm
libucl1,libucl1,1.03,iphoneos-arm
libucl-dev,libucl-dev,1.03,iphoneos-arm
libudf0,libudf0,2.1.0,iphoneos-arm
libudf-dev,libudf-dev,2.1.0,iphoneos-arm
libunibilium4,libunibilium4,2.1.0,iphoneos-arm
libunibilium-dev,libunibilium-dev,2.1.0,iphoneos-arm
libunicorn2,libunicorn2,2.0.1.post1,iphoneos-arm
libunicorn-dev,libunicorn-dev,2.0.1.post1,iphoneos-arm
libunistring5,libunistring5,1.2,iphoneos-arm
libunistring-dev,libunistring-dev,1.2,iphoneos-arm
libunrar5,libunrar5,7.0.7,iphoneos-arm
libunrar-dev,libunrar-dev,7.0.7,iphoneos-arm
libusb-1.0-0,libusb-1.0-0,1.0.26,iphoneos-arm
libusb-1.0-0-dev,libusb-1.0-0-dev,1.0.26,iphoneos-arm
libusbmuxd6,libusbmuxd6,2.0.2+git20220504.36ffb7a,iphoneos-arm
libusbmuxd-dev,libusbmuxd-dev,2.0.2+git20220504.36ffb7a,iphoneos-arm
libusbmuxd-tools,libusbmuxd-tools,2.0.2+git20220504.36ffb7a,iphoneos-arm
libutf8proc2,libutf8proc2,2.5.0-2,iphoneos-arm
libutf8proc3,libutf8proc3,2.9.0,iphoneos-arm
libutf8proc-dev,libutf8proc-dev,2.9.0,iphoneos-arm
libuuid16,libuuid16,1.6.2-3,iphoneos-arm
libuuid-dev,libuuid-dev,1.6.2-3,iphoneos-arm
libuv1,libuv1,1.48.0,iphoneos-arm
libuv1-dev,libuv1-dev,1.48.0,iphoneos-arm
libuvwasi0,libuvwasi0,0.0.12-1,iphoneos-arm
